,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F,COMMENTS
43,44,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-aw z-suff,_,aA,دعا,DONE,,
44,45,MORPH,[PVBuff],Buffer,aw,aw/STEM,MSA,,,#-aw c-suff||A-suff,_,aw,دعوت، دَعَوَا ,DONE,,
45,46,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-aw else,_,_,دعوا,DONE,,
46,47,MORPH,[PVBuff],Buffer,aY,aY/STEM,MSA,,,#-ay z-suff else,_,aY,رمى,DONE,,
47,48,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-ay z-suff enc0,_,aY,رماه,DONE,,
48,49,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay c-suff||A-suff,_,ay,رمين، رميت، رميا,DONE,,
49,50,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-ay else,_,_,رموا,DONE,,
50,51,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-ay-A z-suff,_,aA,حيّا,DONE,,
51,52,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-ay-A c-suff||A-suff,_,ay,حيّيت حييا,DONE,,
52,53,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-ay-A else,_,_,حيوا,DONE,,
53,54,MORPH,[PVBuff],Buffer,iy,iy/STEM,MSA,,,#-iy else,_,iy,نسي نسيت,DONE,,
54,55,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-iy w-suff,_,_,نسوا,DONE,,
55,56,MORPH,[PVBuff],Buffer,}iy,}iy/STEM,MSA,,,#-}iy else,_,iy,ترمي,DONE,,"Christian, add"
56,57,MORPH,[PVBuff],Buffer,&,&/STEM,MSA,,,#-}iy w-suff,_,_,ترمون ترمين,DONE,,"Christian, add"
57,58,MORPH,[PVBuff],Buffer,iy',iy'/STEM,MSA,,,#-iy' v-suff z-suff,_,iy',سيء,DONE,,
58,59,MORPH,[PVBuff],Buffer,iy},iy}/STEM,MSA,,,#-iy' v-suff else,_,iy},سيئها,DONE,,We don't need this line since passives are supposedly all intrans
59,60,MORPH,[PVBuff],Buffer,i},i}/STEM,MSA,,,#-iy' c-suff,_,iy},سيئوا,DONE,,
60,61,MORPH,[PVBuff],Buffer,a>,a>/STEM,MSA,,,#-A' c-suff,_,',جاء,DONE,,
61,62,MORPH,[PVBuff],Buffer,A',A'/STEM,MSA,,,#-A' else,_,&,جاؤوا,DONE,,
62,63,MORPH,[PVBuff],Buffer,A&,A&/STEM,MSA,,,#-A' w-suff,,,,,,
63,64,MORPH,[PVBuff],Buffer,aA,aA/STEM,MSA,,,#-aA z-suff,_,aY,رمى,DONE,,
64,65,MORPH,[PVBuff],Buffer,ay,ay/STEM,MSA,,,#-aA c-suff||A-suff,_,ay,رمين، رميت، رميا,DONE,,
65,66,MORPH,[PVBuff],Buffer,_,_,MSA,,,#-aA else,_,_,رموا,DONE,,
66,67,MORPH,[PVBuff],Buffer,_,_,MSA,,,else,_,_,كتب,DONE,,
67,68,#,Perfect Verb Suffixes,,,,,,,,,,,,,
68,69,MORPH,[PVSuff],PVSuff.1S,tu,tu/PVSUFF_SUBJ:1S,MSA,I,asp:p per:1 gen:u num:s,else,c-suff,tu,كتبت,DONE,,
69,70,MORPH,[PVSuff],PVSuff.1S,~u,~u/PVSUFF_SUBJ:1S,MSA,I,asp:p per:1 gen:u num:s,#t,c-suff,~u,سكت,DONE,,
70,71,MORPH,[PVSuff],PVSuff.1P,nA,nA/PVSUFF_SUBJ:1P,MSA,we,asp:p per:1 gen:u num:p,else !enc0:1* ,c-suff,nA,كتبنا,DONE,,
71,72,MORPH,[PVSuff],PVSuff.1P,~A,~A/PVSUFF_SUBJ:1P,MSA,we,asp:p per:1 gen:u num:p,#n !enc0:1* ,c-suff,~A,سكنا,DONE,,
72,73,MORPH,[PVSuff],PVSuff.2MS,ta,ta/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,else !enc0:2* ,c-suff,ta,كتبت,DONE,,
73,74,MORPH,[PVSuff],PVSuff.2MS,~a,~a/PVSUFF_SUBJ:2MS,MSA,you_[masc.sg.],asp:p per:2 gen:m num:s,#t !enc0:2*,c-suff,~a,سكت,DONE,,
74,75,MORPH,[PVSuff],PVSuff.2MP,tum ,tum/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else !enc0:2* else,c-suff,tum ,كتبتم,DONE,,
75,76,MORPH,[PVSuff],PVSuff.2MP,tumuw ,tum/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,else !enc0:2* enc0,c-suff,tum ,كتبتموها,DONE,,
76,77,MORPH,[PVSuff],PVSuff.2MP,~um ,~um/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t !enc0:2* else,c-suff,~um ,سكتم,DONE,,
77,78,MORPH,[PVSuff],PVSuff.2MP,~umuw ,~um/PVSUFF_SUBJ:2MP,MSA,you_[masc.pl.],asp:p per:2 gen:m num:p,#t !enc0:2* enc0,c-suff,~um ,سكتموها,DONE,,
78,79,MORPH,[PVSuff],PVSuff.2FS,ti,ti/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,else !enc0:2* ,c-suff #^i,ti,كتبت,DONE,,
79,80,MORPH,[PVSuff],PVSuff.2FS,~i,~i/PVSUFF_SUBJ:2FS,MSA,you_[fem.sg.],asp:p per:2 gen:f num:s,#t !enc0:2*,c-suff #^i,~i,سكت,DONE,,
80,81,MORPH,[PVSuff],PVSuff.2FP,tun~a,tun~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,else !enc0:2* ,c-suff,tun~a,كتبتن,DONE,,
81,82,MORPH,[PVSuff],PVSuff.2FP,~un~a,~un~a/PVSUFF_SUBJ:2FP,MSA,you_[fem.pl.],asp:p per:2 gen:f num:p,#t !enc0:2*,c-suff,~un~a,سكتن,DONE,,
82,83,MORPH,[PVSuff],PVSuff.2D,tumA,tumA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,else !enc0:2*,c-suff,tumA,كتبتما,DONE,,
83,84,MORPH,[PVSuff],PVSuff.2D,~umA,~umA/PVSUFF_SUBJ:2D,MSA,you_[du.],asp:p per:2 gen:u num:d,#t !enc0:2*,c-suff,~umA,سكتما,DONE,,
84,85,MORPH,[PVSuff],PVSuff.3MS,a,a/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,else,v-suff z-suff,a,كتب,DONE,,
85,86,MORPH,[PVSuff],PVSuff.3MS,_,(null)/PVSUFF_SUBJ:3MS,MSA,he_[masc.sg.],asp:p per:3 gen:m num:s,#-ay||#-ay-A||#-aw||#-aA,v-suff z-suff,_,رمى,DONE,,
86,87,MORPH,[PVSuff],PVSuff.3MD,A,A/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,else,v-suff A-suff,A,كتبا,DONE,,
87,88,MORPH,[PVSuff],PVSuff.3MD,_,(null)/PVSUFF_SUBJ:3MD,MSA,they_[masc.du.],asp:p per:3 gen:m num:d,#-a>,v-suff A-suff,_,قرآ,DONE,,
88,89,MORPH,[PVSuff],PVSuff.3MP,uwA,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else else,v-suff w-suff,uwA,كتبوا,DONE,,
89,90,MORPH,[PVSuff],PVSuff.3MP,uw,uwA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,else enc0,v-suff w-suff,uwA,كتبوها,DONE,,
90,91,MORPH,[PVSuff],PVSuff.3MP,awoA,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-ay-A||#-aw||#-aA else,v-suff w-suff,awA,رموا,DONE,,
91,92,MORPH,[PVSuff],PVSuff.3MP,awo,awoA/PVSUFF_SUBJ:3MP,MSA,they_[masc.pl.],asp:p per:3 gen:m num:p,#-ay||#-ay-A||#-aw||#-aA enc0,v-suff w-suff,awA,رموه,DONE,,
92,93,MORPH,[PVSuff],PVSuff.3FS,at,at/PVSUFF_SUBJ:3FS,MSA,she_[fem.sg.],asp:p per:3 gen:f num:s,else,v-suff,at,كتبت,DONE,,
93,94,MORPH,[PVSuff],PVSuff.3FD,atA,atA/PVSUFF_SUBJ:3FD,MSA,they_[fem.du.],asp:p per:3 gen:f num:d,else,v-suff,atA,كتبتا,DONE,,
94,95,MORPH,[PVSuff],PVSuff.3FP,na,na/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,else,c-suff,na,كتبن,DONE,,
95,96,MORPH,[PVSuff],PVSuff.3FP,~a,~a/PVSUFF_SUBJ:3FP,MSA,they_[fem.pl.],asp:p per:3 gen:f num:p,#n,c-suff,~a,سكن,DONE,,
96,97,#,Imperfect verb prefixes,,,,,,,,,,,,,
97,98,MORPH,[IVPref.1S],IVPref.1S,>,>/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,else,h-pref,,"أكتب,أؤجل,أساعد",DONE,,
98,99,MORPH,[IVPref.1S],IVPref.1S,>,>/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,a-# else,h-pref,,"أكتب,أؤجل,أساعد",DONE,,
99,100,MORPH,[IVPref.1S],IVPref.1S,|,|/IV1S,MSA,I_[sg.],asp:i per:1 gen:u num:s,a-# >-#,h-pref,,آكل,DONE,,
100,101,MORPH,[IVPref.1P],IVPref.1P,n,n/IV1P,MSA,we_[pl.],asp:i per:1 gen:u num:p,!enc0:1*,_,,نكتب,DONE,,
101,102,MORPH,[IVPref.2MS],IVPref.2MS,t,t/IV2MS,MSA,you_[masc.sg.],asp:i per:2 gen:m num:s,!enc0:2*,_,,تكتب,DONE,,
102,103,MORPH,[IVPref.2MP],IVPref.2MP,t,t/IV2MP,MSA,you_[masc.pl.],asp:i per:2 gen:m num:p,!enc0:2*,_,,تكتب,DONE,,
103,104,MORPH,[IVPref.2FS],IVPref.2FS,t,t/IV2FS,MSA,you_[fem.sg.],asp:i per:2 gen:f num:s,!enc0:2*,_,,تكتب,DONE,,
104,105,MORPH,[IVPref.2FP],IVPref.2FP,t,t/IV2FP,MSA,you_[fem.pl.],asp:i per:2 gen:f num:p,!enc0:2*,_,,تكتب,DONE,,
105,106,MORPH,[IVPref.2D],IVPref.2D,t,t/IV2D,MSA,you_[du.],asp:i per:2 gen:u num:d,!enc0:2*,_,,تكتب,DONE,,
106,107,MORPH,[IVPref.3MS],IVPref.3MS,y,y/IV3MS,MSA,he_[masc.sg.],asp:i per:3 gen:m num:s,_,_,,يكتب,DONE,,
107,108,MORPH,[IVPref.3MD],IVPref.3MD,y,y/IV3MD,MSA,they_[masc.du.],asp:i per:3 gen:m num:d,_,_,,يكتب,DONE,,
108,109,MORPH,[IVPref.3MP],IVPref.3MP,y,y/IV3MP,MSA,they_[masc.pl.],asp:i per:3 gen:m num:p,_,_,,يكتب,DONE,,
109,110,MORPH,[IVPref.3FS],IVPref.3FS,t,t/IV3FS,MSA,she_[fem.sg.],asp:i per:3 gen:f num:s,_,_,,تكتب,DONE,,
110,111,MORPH,[IVPref.3FD],IVPref.3FD,t,t/IV3FD,MSA,she_[fem.pl.],asp:i per:3 gen:f num:d,_,_,,تكتب,DONE,,
111,112,MORPH,[IVPref.3FP],IVPref.3FP,y,y/IV3FP,MSA,they_[fem.pl.],asp:i per:3 gen:f num:p,_,_,,يكتب,DONE,,
112,113,#,Imperfect verb pre-stem buffer,,,,,,,,,,,,,
113,114,MORPH,[IVPreBuff],Buffer#a-#,_,_,MSA,,,a-# >-# h-pref,_,,آكل,DONE,,
114,115,MORPH,[IVPreBuff],Buffer#a-#,a>,a>/STEM,MSA,,,a-# >-# else,_,,تأكلن,DONE,,
115,116,MORPH,[IVPreBuff],Buffer#a-#,a,a/STEM,MSA,,,a-# else else,_,,تكتب,DONE,,
116,117,MORPH,[IVPreBuff],Buffer#u-#,uw,uw/STEM,MSA,,,u-# >-# h-pref,_,,أُوسَر,DONE,,
117,118,MORPH,[IVPreBuff],Buffer#u-#,u&,u&/STEM,MSA,,,u-# >-# else,_,,تُؤسَر,DONE,,
118,119,MORPH,[IVPreBuff],Buffer#u-#,u,u/STEM,MSA,,,u-# else else,_,,تساعد,DONE,,
119,120,#,Imperfect verb post-stem buffer,,,,,,,,,,,,,
120,121,MORPH,[IVBuff],Buffer,ay,ay/STEM,MSA,,,#-aA else,_,_,تحيين تحيون,DONE,,
121,122,MORPH,[IVBuff],Buffer,a,a/STEM,MSA,,,#-aA z-suff c-suff,_,a,تحيَ,DONE,,
122,123,MORPH,[IVBuff],Buffer,A,A/STEM,MSA,,,#-aA z-suff v-suff,_,A,تحيا,DONE,,
123,124,MORPH,[IVBuff],Buffer,ay,ay/STEM,MSA,,,#-aY else,_,ay,تريان,DONE,,
124,125,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-aY w-suff||y-suff,_,_,ترون ترين,DONE,,
125,126,MORPH,[IVBuff],Buffer,a,a/STEM,MSA,,,#-aY z-suff c-suff,_,a,ترَ,DONE,,
126,127,MORPH,[IVBuff],Buffer,aY,aY/STEM,MSA,,,#-aY z-suff v-suff !enc0,_,aY,ترى,DONE,,
127,128,MORPH,[IVBuff],Buffer,A,A/STEM,MSA,,,#-aY z-suff v-suff enc0,_,aY,تراه,DONE,,
128,129,MORPH,[IVBuff],Buffer,uw,uw/STEM,MSA,,,#-uw else,_,uw,تدعو,DONE,,
129,130,MORPH,[IVBuff],Buffer,uw,uw/STEM,MSA,,,#-uw z-suff else,_,uw,تدعو,DONE,,
130,131,MORPH,[IVBuff],Buffer,u,u/STEM,MSA,,,#-uw z-suff c-suff,_,u,تدعُ,DONE,,
131,132,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-uw w-suff||y-suff,_,_,تدعون تدعين,DONE,,
132,133,MORPH,[IVBuff],Buffer,iy,iy/STEM,MSA,,,#-iy else,_,iy,ترمي,DONE,,
133,134,MORPH,[IVBuff],Buffer,_,_,MSA,,,#-iy w-suff||y-suff,_,_,ترمون ترمين,DONE,,
134,135,MORPH,[IVBuff],Buffer,i,i/STEM,MSA,,,#-iy z-suff c-suff ,_,i,ترمِ,DONE,,
135,136,MORPH,[IVBuff],Buffer,iy,iy/STEM,MSA,,,#-iy z-suff v-suff,_,iy,ترمي,DONE,,
136,137,MORPH,[IVBuff],Buffer,a|,a|/STEM,MSA,,,#-a> A-suff,_,a|,تقرآ,DONE,,
137,138,MORPH,[IVBuff],Buffer,a>,a>/STEM,MSA,,,#-a> else,_,a>,تقرأَ,DONE,,
138,139,MORPH,[IVBuff],Buffer,a>,a>/STEM,MSA,,,#-a> u-suff !enc0,_,a>,تقرأُ,DONE,,
139,140,MORPH,[IVBuff],Buffer,a&,a&/STEM,MSA,,,#-a> u-suff enc0,_,a>,تقرؤه,DONE,,
140,141,MORPH,[IVBuff],Buffer,a&,a&/STEM,MSA,,,#-a> w-suff,_,a&,تقرؤوا,DONE,,
141,142,MORPH,[IVBuff],Buffer,a},a}/STEM,MSA,,,#-a> y-suff,_,a},تقرئي,DONE,,
142,143,MORPH,[IVBuff],Buffer,u&,u&/STEM,MSA,,,#-u& else,_,a&,تبطؤ,DONE,,
143,144,MORPH,[IVBuff],Buffer,u},u}/STEM,MSA,,,#-u& y-suff,_,a},تبطئي,DONE,,
144,145,MORPH,[IVBuff],Buffer,a>,a>/STEM,MSA,,,#-A' c-suff,_,a>,يشأْ يشأن,DONE,,
145,146,MORPH,[IVBuff],Buffer,A&,A&/STEM,MSA,,,#-A' w-suff,_,A&,يشاؤون,DONE,,
146,147,MORPH,[IVBuff],Buffer,A},A}/STEM,MSA,,,#-A' y-suff,_,A},تشائين,DONE,,
147,148,MORPH,[IVBuff],Buffer,A',A'/STEM,MSA,,,#-A' z-suff||A-suff else,_,A',يشاء,DONE,,Added ||A-suff here
148,149,MORPH,[IVBuff],Buffer,A&,A&/STEM,MSA,,,#-A' z-suff||A-suff enc0 u-suff,_,A',يشاؤه,DONE,,Added ||A-suff here
149,150,MORPH,[IVBuff],Buffer,A',A'/STEM,MSA,,,#-A' z-suff||A-suff enc0 else,_,A',يشاءه,DONE,,Added ||A-suff here
150,151,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' A-suff,_,uw',,DONE,,
151,152,MORPH,[IVBuff],Buffer,u&,u&/STEM,MSA,,,#-uw' c-suff,_,u&,,DONE,,
152,153,MORPH,[IVBuff],Buffer,uw},uw}/STEM,MSA,,,#-uw' w-suff||y-suff,_,uw},,DONE,,
153,154,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' z-suff else,_,uw',,DONE,,
154,155,MORPH,[IVBuff],Buffer,uw',uw'/STEM,MSA,,,#-uw' z-suff u-suff !enc0,_,uw',,DONE,,
155,156,MORPH,[IVBuff],Buffer,uw&,uw&/STEM,MSA,,,#-uw' z-suff u-suff enc0,_,uw',,DONE,,
156,157,MORPH,[IVBuff],Buffer,i},i}/STEM,MSA,,,#-iy' c-suff,_,i},,DONE,,
157,158,MORPH,[IVBuff],Buffer,iy},iy}/STEM,MSA,,,#-iy' else,_,iy},,DONE,,
158,159,MORPH,[IVBuff],Buffer,iy',iy'/STEM,MSA,,,#-iy' z-suff !enc0,_,iy',,DONE,,
159,160,MORPH,[IVBuff],Buffer,iy},iy}/STEM,MSA,,,#-iy' z-suff enc0,_,iy',,DONE,,
160,161,MORPH,[IVBuff],Buffer,}iy,}iy/STEM,MSA,,,#-}iy else,_,iy,,DONE,,"Christian, add"
161,162,MORPH,[IVBuff],Buffer,}iy,}iy/STEM,MSA,,,#-}iy c-suff else,_,iy,,DONE,,"Christian, add"
162,163,MORPH,[IVBuff],Buffer,}i,}i/STEM,MSA,,,#-}iy c-suff z-suff,_,iy,,DONE,,"Christian, add"
163,164,MORPH,[IVBuff],Buffer,},}/STEM,MSA,,,#-}iy y-suff,_,iy,,DONE,,"Christian, add"
164,165,MORPH,[IVBuff],Buffer,&,&/STEM,MSA,,,#-}iy w-suff,_,_,,DONE,,"Christian, add"
165,124,MORPH,[IVBuff],Buffer,>ay,>ay/STEM,MSA,,,#->ay else,_,ay,تريان,DONE,,
166,125,MORPH,[IVBuff],Buffer,>,>/STEM,MSA,,,#->ay w-suff||y-suff,_,_,ترون ترين,DONE,,
167,126,MORPH,[IVBuff],Buffer,>a,>a/STEM,MSA,,,#->ay z-suff c-suff,_,a,ترَ,DONE,,
168,127,MORPH,[IVBuff],Buffer,>aY,>aY/STEM,MSA,,,#->ay z-suff v-suff !enc0,_,aY,ترى,DONE,,
169,128,MORPH,[IVBuff],Buffer,|,|/STEM,MSA,,,#->ay z-suff v-suff enc0,_,aY,تراه,DONE,,
170,172,MORPH,[IVBuff],Buffer,_,_,MSA,,,else,_,_,,DONE,,
171,173,#,Imperfective Verb Suffixes (Indicative Mood),,,,,,,,,,,,,
172,174,MORPH,[IVSuff.I.1P],IVSuff.1P,u,u/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,else,v-suff u-suff z-suff,u,نكتب,OK-BASE,,
173,193,MORPH,[IVSuff.I.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,"نرا، نرى, ندعو, نرمي",OK-VAR,,
174,198,MORPH,[IVSuff.I.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P_MOOD:I,MSA,[pl.],asp:i per:1 gen:u num:p mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,نرمي,OK-VAR,,
175,175,MORPH,[IVSuff.I.1S],IVSuff.1S,u,u/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,else,v-suff u-suff z-suff,u,أكتب,OK-BASE,,
176,194,MORPH,[IVSuff.I.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,#-aY||#-uw||#-aA||#->ay,v-suff u-suff z-suff,_,أراه، أرى,OK-VAR,,
177,199,MORPH,[IVSuff.I.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S_MOOD:I,MSA,[sg.],asp:i per:1 gen:u num:s mod:i,#-iy||#-}iy,v-suff u-suff z-suff #^iy,_,أرمي,OK-VAR,,
178,176,MORPH,[IVSuff.I.2D],IVSuff.2D,Ani,Ani/IVSUFF_SUBJ:2D_MOOD:I,MSA,[du.],asp:i per:2 gen:u num:d mod:i,else,v-suff A-suff #^i,Ani,تكتبان,OK-BASE,,
179,187,MORPH,[IVSuff.I.2D],IVSuff.2D,ni,ni/IVSUFF_SUBJ:2D_MOOD:I,MSA,[du.],asp:i per:2 gen:u num:d mod:i,#-a>,v-suff A-suff #^i,ni,تقرآن,OK-VAR,,
180,177,MORPH,[IVSuff.I.2FP],IVSuff.2FP,na,na/IVSUFF_SUBJ:2FP_MOOD:I,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:i,else,c-suff,na,تكتبن,OK-BASE,,
181,203,MORPH,[IVSuff.I.2FP],IVSuff.2FP,~a,~a/IVSUFF_SUBJ:2FP_MOOD:I,MSA,[fem.pl.],asp:i per:2 gen:f num:p mod:i,#n,c-suff,~a,تسكنّ,OK-VAR,,
182,178,MORPH,[IVSuff.I.2FS],IVSuff.2FS,iyna,iyna/IVSUFF_SUBJ:2FS_MOOD:I,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:i,else,v-suff y-suff,iyna,تكتبين,OK-BASE,,
183,192,MORPH,[IVSuff.I.2FS],IVSuff.2FS,ayna,ayna/IVSUFF_SUBJ:2FS_MOOD:I,MSA,[fem.sg.],asp:i per:2 gen:f num:s mod:i,#-aY||#-aA||#->ay,y-suff,ayna,ترين,OK-VAR,,
184,179,MORPH,[IVSuff.I.2MP],IVSuff.2MP,uwna,uwna/IVSUFF_SUBJ:2MP_MOOD:I,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:i,else,v-suff w-suff,uwna,تكتبون,OK-BASE,,
185,190,MORPH,[IVSuff.I.2MP],IVSuff.2MP,awna,awna/IVSUFF_SUBJ:2MP_MOOD:I,MSA,[masc.pl.],asp:i per:2 gen:m num:p mod:i,#-aY||#-aA||#->ay,w-suff,awna,ترون,OK-VAR,,
